Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:58:12.461,3.4391008399891453e-7,N/A
2024/10/21 08:58:13.136,N/A,1493.1238999999998
2024/10/21 08:58:13.461,3.4436989628749807e-7,N/A
2024/10/21 08:58:14.136,N/A,1496.8551
2024/10/21 08:58:14.461,3.439797294470534e-7,N/A
2024/10/21 08:58:15.136,N/A,1500.5407999999998
2024/10/21 08:58:15.461,3.432768860509529e-7,N/A
2024/10/21 08:58:16.136,N/A,1499.3630999999998
2024/10/21 08:58:16.461,3.4376867136217023e-7,N/A
2024/10/21 08:58:17.136,N/A,1497.1873999999998
2024/10/21 08:58:17.461,3.4374829397868854e-7,N/A
2024/10/21 08:58:18.136,N/A,1494.3894999999998
2024/10/21 08:58:18.461,3.4407086719801e-7,N/A
2024/10/21 08:58:19.136,N/A,1492.0765
2024/10/21 08:58:19.461,3.443344904007422e-7,N/A
2024/10/21 08:58:20.136,N/A,1495.7187999999999
2024/10/21 08:58:20.461,3.47148447075648e-7,N/A
2024/10/21 08:58:21.136,N/A,1499.4155999999998
2024/10/21 08:58:21.462,3.450916319455607e-7,N/A
2024/10/21 08:58:22.136,N/A,1502.7386999999999
2024/10/21 08:58:22.461,3.448002964039879e-7,N/A
2024/10/21 08:58:23.136,N/A,1501.0651
2024/10/21 08:58:23.461,3.4383522185065244e-7,N/A
2024/10/21 08:58:24.136,N/A,1498.1943999999999
2024/10/21 08:58:24.461,3.446505624811595e-7,N/A
2024/10/21 08:58:25.136,N/A,1495.3338999999999
2024/10/21 08:58:25.461,3.452540542268935e-7,N/A
2024/10/21 08:58:26.136,N/A,1492.8088
2024/10/21 08:58:26.461,3.448276099653147e-7,N/A
2024/10/21 08:58:27.136,N/A,1491.6764999999998
2024/10/21 08:58:27.461,3.461522851381923e-7,N/A
2024/10/21 08:58:28.136,N/A,1494.6672999999998
2024/10/21 08:58:28.461,3.4577025634980447e-7,N/A
2024/10/21 08:58:29.136,N/A,1498.4187
2024/10/21 08:58:29.461,3.447993920184344e-7,N/A
2024/10/21 08:58:30.136,N/A,1501.9812
2024/10/21 08:58:30.461,3.462249273922104e-7,N/A
2024/10/21 08:58:31.136,N/A,1500.6508999999999
2024/10/21 08:58:31.461,3.4313807384115675e-7,N/A
2024/10/21 08:58:32.136,N/A,1497.3823999999997
2024/10/21 08:58:32.461,3.448820626588306e-7,N/A
2024/10/21 08:58:33.136,N/A,1494.533
2024/10/21 08:58:33.461,3.45852252621828e-7,N/A
2024/10/21 08:58:34.136,N/A,1493.2713999999999
2024/10/21 08:58:34.461,3.4332208865215225e-7,N/A
2024/10/21 08:58:35.136,N/A,1497.4207
2024/10/21 08:58:35.461,3.44999680867412e-7,N/A
2024/10/21 08:58:36.136,N/A,1500.9579999999999
2024/10/21 08:58:36.461,3.4587765364107877e-7,N/A
2024/10/21 08:58:37.136,N/A,1501.8609999999999
2024/10/21 08:58:37.461,3.4589216934681586e-7,N/A
2024/10/21 08:58:38.136,N/A,1499.7196
2024/10/21 08:58:38.461,3.434831375132029e-7,N/A
2024/10/21 08:58:39.136,N/A,1496.8712999999998
2024/10/21 08:58:39.461,3.43758572684864e-7,N/A
2024/10/21 08:58:40.136,N/A,1494.1673
2024/10/21 08:58:40.461,3.446004848521161e-7,N/A
2024/10/21 08:58:41.136,N/A,1492.4986999999999
2024/10/21 08:58:41.461,3.456422214208776e-7,N/A
2024/10/21 08:58:42.136,N/A,1495.5248
2024/10/21 08:58:42.461,3.418916458754561e-7,N/A
2024/10/21 08:58:43.136,N/A,1499.9984
2024/10/21 08:58:43.461,3.453687193012573e-7,N/A
2024/10/21 08:58:44.136,N/A,1503.8165
2024/10/21 08:58:44.461,3.463806147444694e-7,N/A
2024/10/21 08:58:45.136,N/A,1504.7305999999999
2024/10/21 08:58:45.461,3.440246636573551e-7,N/A
2024/10/21 08:58:46.136,N/A,1501.4942999999998
2024/10/21 08:58:46.461,3.450195894554671e-7,N/A
2024/10/21 08:58:47.136,N/A,1498.7217
2024/10/21 08:58:47.461,3.4600759088227985e-7,N/A
2024/10/21 08:58:48.136,N/A,1495.9723
2024/10/21 08:58:48.461,3.4515119601419356e-7,N/A
2024/10/21 08:58:49.136,N/A,1493.0734
2024/10/21 08:58:49.461,3.4841696404429934e-7,N/A
2024/10/21 08:58:50.136,N/A,1492.4673999999998
2024/10/21 08:58:50.461,3.4713096503701033e-7,N/A
2024/10/21 08:58:51.136,N/A,1495.8601999999998
2024/10/21 08:58:51.462,3.461419348577525e-7,N/A
2024/10/21 08:58:52.136,N/A,1499.4569999999999
2024/10/21 08:58:52.461,3.44876816011737e-7,N/A
2024/10/21 08:58:53.136,N/A,1502.5316999999998
2024/10/21 08:58:53.461,3.4348547994419723e-7,N/A
2024/10/21 08:58:54.136,N/A,1502.5074
2024/10/21 08:58:54.461,3.4375839235403626e-7,N/A
2024/10/21 08:58:55.136,N/A,1499.8106
2024/10/21 08:58:55.461,3.435081843339037e-7,N/A
2024/10/21 08:58:56.136,N/A,1496.5066
2024/10/21 08:58:56.461,3.4569281312685404e-7,N/A
2024/10/21 08:58:57.136,N/A,1493.533
2024/10/21 08:58:57.461,3.46052063856145e-7,N/A
2024/10/21 08:58:58.136,N/A,1492.7703999999999
2024/10/21 08:58:58.461,3.4634463875347255e-7,N/A
2024/10/21 08:58:59.136,N/A,1496.0248
2024/10/21 08:58:59.461,3.4590741149348143e-7,N/A
2024/10/21 08:59:00.136,N/A,1499.8185999999998
2024/10/21 08:59:00.461,3.4652455608182075e-7,N/A
2024/10/21 08:59:01.136,N/A,1502.6559
2024/10/21 08:59:01.462,3.455055339216739e-7,N/A
2024/10/21 08:59:02.136,N/A,1500.5286999999998
2024/10/21 08:59:02.461,3.470386526217225e-7,N/A
2024/10/21 08:59:03.136,N/A,1498.347
2024/10/21 08:59:03.461,3.4350313878427757e-7,N/A
2024/10/21 08:59:04.136,N/A,1495.5036
2024/10/21 08:59:04.461,3.4559290616858e-7,N/A
2024/10/21 08:59:05.136,N/A,1492.7561999999998
2024/10/21 08:59:05.461,3.440266488381664e-7,N/A
2024/10/21 08:59:06.136,N/A,1490.5168999999999
2024/10/21 08:59:06.462,3.4716592999470743e-7,N/A
2024/10/21 08:59:07.136,N/A,1494.0289
2024/10/21 08:59:07.461,3.448896613926816e-7,N/A
2024/10/21 08:59:08.136,N/A,1497.6187
2024/10/21 08:59:08.461,3.4538792444188495e-7,N/A
