Timestamp,BM_DCCT:LCUR,VALCCG:D10_L02:PRES
2024/10/28 02:56:25.136,0.0038000000000000256,N/A
2024/10/28 02:56:25.461,N/A,8.677876164846244e-8
2024/10/28 02:56:26.136,-0.00029999999999996696,N/A
2024/10/28 02:56:26.462,N/A,8.630226020829765e-8
2024/10/28 02:56:27.136,-0.0032999999999999696,N/A
2024/10/28 02:56:27.461,N/A,8.549182185459317e-8
2024/10/28 02:56:28.136,0.00979999999999992,N/A
2024/10/28 02:56:28.461,N/A,8.472858023133019e-8
2024/10/28 02:56:29.136,0.00880000000000003,N/A
2024/10/28 02:56:29.461,N/A,8.425435240648428e-8
2024/10/28 02:56:30.136,0.0018000000000000238,N/A
2024/10/28 02:56:30.461,N/A,8.319110662299134e-8
2024/10/28 02:56:31.136,0.0038000000000000256,N/A
2024/10/28 02:56:31.462,N/A,8.272544547211944e-8
2024/10/28 02:56:32.136,-0.00029999999999996696,N/A
2024/10/28 02:56:32.461,N/A,8.206494378599504e-8
2024/10/28 02:56:33.136,0.0048000000000000265,N/A
2024/10/28 02:56:33.461,N/A,8.15693813713032e-8
2024/10/28 02:56:34.136,-0.0022999999999999687,N/A
2024/10/28 02:56:34.461,N/A,8.096331901761117e-8
2024/10/28 02:56:35.136,0.0018000000000000238,N/A
2024/10/28 02:56:35.461,N/A,8.020657243599287e-8
2024/10/28 02:56:36.136,-0.0032999999999999696,N/A
2024/10/28 02:56:36.461,N/A,7.952121518429401e-8
2024/10/28 02:56:37.136,-0.005299999999999971,N/A
2024/10/28 02:56:37.461,N/A,7.898370095576698e-8
2024/10/28 02:56:38.136,-0.0032999999999999696,N/A
2024/10/28 02:56:38.461,N/A,7.847953162630224e-8
2024/10/28 02:56:39.136,-0.0013000000000000789,N/A
2024/10/28 02:56:39.461,N/A,7.767703054780553e-8
2024/10/28 02:56:40.136,-0.00029999999999996696,N/A
2024/10/28 02:56:40.461,N/A,7.744291065868745e-8
2024/10/28 02:56:41.136,-0.0032999999999999696,N/A
2024/10/28 02:56:41.462,N/A,7.697577995358815e-8
2024/10/28 02:56:42.136,0.012900000000000023,N/A
2024/10/28 02:56:42.461,N/A,7.671407481523315e-8
2024/10/28 02:56:43.136,0.0007000000000000339,N/A
2024/10/28 02:56:43.461,N/A,7.655178492739607e-8
2024/10/28 02:56:44.136,0.0018000000000000238,N/A
2024/10/28 02:56:44.461,N/A,7.595515844913799e-8
2024/10/28 02:56:45.136,0.0048000000000000265,N/A
2024/10/28 02:56:45.461,N/A,7.570287520503152e-8
2024/10/28 02:56:46.136,0.005800000000000027,N/A
2024/10/28 02:56:46.461,N/A,7.523986782622356e-8
2024/10/28 02:56:47.136,0.0028000000000000247,N/A
2024/10/28 02:56:47.461,N/A,7.489557683006654e-8
2024/10/28 02:56:48.136,-0.0013000000000000789,N/A
2024/10/28 02:56:48.461,N/A,7.453468681887846e-8
2024/10/28 02:56:49.136,-0.00029999999999996696,N/A
2024/10/28 02:56:49.461,N/A,7.412699128002118e-8
2024/10/28 02:56:50.136,-0.0032999999999999696,N/A
2024/10/28 02:56:50.461,N/A,7.419727519699897e-8
2024/10/28 02:56:51.136,0.0007000000000000339,N/A
2024/10/28 02:56:51.461,N/A,7.377970189091564e-8
2024/10/28 02:56:52.136,0.0007000000000000339,N/A
2024/10/28 02:56:52.461,N/A,7.341572677035281e-8
2024/10/28 02:56:53.136,0.0007000000000000339,N/A
2024/10/28 02:56:53.461,N/A,7.322451224481258e-8
2024/10/28 02:56:54.136,-0.008299999999999974,N/A
2024/10/28 02:56:54.461,N/A,7.292361611023902e-8
2024/10/28 02:56:55.136,0.0018000000000000238,N/A
2024/10/28 02:56:55.461,N/A,7.241814283141738e-8
2024/10/28 02:56:56.136,-0.0013000000000000789,N/A
2024/10/28 02:56:56.461,N/A,7.203812405805998e-8
